authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,collectCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/70a5f5b317db648b61cacca0c49c680d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=9f31328b&x-expires=1768132800&x-signature=l8L7hC6vrUxOq4hfsrAHCJhgVw8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my,masarmul,durhaka sama orang tua si🙏#elclasico,15000,77,322500,169,215.0,12,suara asli - jagoan mama,jagoan mama,True,2021-10-25T08:04:45.000Z,https://www.tiktok.com/@masarmul/video/7022911840665570587
https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/3b16553749acc30786552ec357282c25~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=a5792506&x-expires=1768132800&x-signature=G8RKk5Khcx5P%2Fsbg6Y6mk5DWxKg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,amrepsss,WKWKWKK INI TREN LUCU SIH #fyp ,19500,879,329100,531,1079.0,13,suara asli - travel SimpangNiam,Rbj Travel,True,2024-06-03T12:50:13.000Z,https://www.tiktok.com/@amrepsss/video/7376258478857506054
https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/3b16553749acc30786552ec357282c25~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=a5792506&x-expires=1768132800&x-signature=G8RKk5Khcx5P%2Fsbg6Y6mk5DWxKg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,amrepsss,jujur janggal ,56,4,1350,4,0.0,8,Say Goodbye,Lodoni,False,2025-10-17T12:35:41.000Z,https://www.tiktok.com/@amrepsss/video/7562168411980057874
https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/3b16553749acc30786552ec357282c25~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=a5792506&x-expires=1768132800&x-signature=G8RKk5Khcx5P%2Fsbg6Y6mk5DWxKg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,amrepsss,emuach,36,0,565,1,0.0,0,original sound,Mr. Fish,True,2025-11-30T06:12:26.000Z,https://www.tiktok.com/@amrepsss/video/7578397385835957511
https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/3b16553749acc30786552ec357282c25~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=a5792506&x-expires=1768132800&x-signature=G8RKk5Khcx5P%2Fsbg6Y6mk5DWxKg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,amrepsss,cantik #leopardgecko #gecko #reptile ,27,1,782,2,0.0,10,original sound,SpongeBob background music,True,2025-12-29T14:23:25.000Z,https://www.tiktok.com/@amrepsss/video/7589285374426664212
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,wihii ijo ijo nih 🤩💚 #acnecleanser #acnefacewash ,2444,56,137900,24,266.0,14,Teehayyz Cheerleader Cover,Teehayyz,True,2024-07-25T10:55:55.000Z,https://www.tiktok.com/@nouwrahh/video/7395525451050945798
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,my comfort outfit <3,3252,222,47800,38,633.0,14,El Watar el Hassas by Sherine,Muslim Sounds | Mastoora,True,2024-08-08T04:48:04.000Z,https://www.tiktok.com/@nouwrahh/video/7400625833758543110
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,my comfort outfit <3  by @Jamise Syari 🤍,33700,3284,201400,262,2689.0,0,love is a lie .,Yigit,True,2024-08-15T06:39:29.000Z,https://www.tiktok.com/@nouwrahh/video/7403252143496449286
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,abaya one set by @DMDapparel ❤️ super prettyyyy! ,4679,174,42900,34,366.0,0,الصوت الأصلي - مِـيرو | 𝐌𝐢𝐫𝐨 🌸,ميـرو || ᗰᎥᖇO 🌸,True,2024-08-27T06:55:28.000Z,https://www.tiktok.com/@nouwrahh/video/7407709260387306758
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,,22900,803,160400,130,2028.0,15,Veiledhayati,🎀 Veiled حياتي 🎀,True,2024-09-15T01:15:57.000Z,https://www.tiktok.com/@nouwrahh/video/7414672405689715973
